problem_id,round,generation_attempted,generation_valid,generation_disqualified,verified_pool_size,best_proof_id,best_mean_score,best_valid_verification_count,verification_attempted,verification_valid,verification_invalid,early_stop
1,1,32,27,5,27,r01-p0018,0.21875,16,432,432,0,False
1,2,32,31,1,58,r02-p0004,0.9375,16,496,496,0,False
1,3,32,32,0,90,r03-p0023,1.0,16,512,512,0,True
2,1,32,32,0,32,r01-p0007,0.84375,16,512,512,0,False
2,2,32,32,0,64,r02-p0003,1.0,16,512,512,0,True
3,1,32,26,6,26,r01-p0013,0.0625,16,416,416,0,False
3,2,32,26,6,52,r01-p0013,0.0625,16,416,416,0,False
3,3,32,29,3,81,r03-p0027,0.625,16,464,464,0,False
3,4,32,28,4,109,r04-p0003,0.65625,16,448,448,0,False
4,1,32,30,2,30,r01-p0002,0.84375,16,480,480,0,False
4,2,32,31,1,61,r02-p0025,0.9375,16,496,496,0,False
4,3,32,32,0,93,r02-p0025,0.9375,16,512,512,0,False
4,4,32,32,0,125,r04-p0010,1.0,16,512,512,0,True
5,1,32,31,1,31,r01-p0015,0.875,16,496,496,0,False
5,2,32,32,0,63,r01-p0015,0.875,16,512,512,0,False
5,3,32,32,0,95,r03-p0028,1.0,16,512,512,0,True
6,1,32,32,0,32,r01-p0012,1.0,16,512,512,0,True
