problem_id,attempt,score
1,0,7
2,0,0
4,0,7
1,1,4
1,13,4
1,7,7
1,16,7
1,8,4
1,12,7
1,10,7
1,4,7
1,3,7
1,11,7
1,2,7
1,5,7
1,15,6
1,9,4
1,6,7
1,14,7
1,18,4
1,17,7
1,24,7
1,22,7
1,20,4
1,26,7
1,19,3
1,25,7
1,28,7
1,21,5
1,27,7
1,31,7
1,23,4
1,32,7
1,33,4
1,29,5
1,30,7
1,36,7
1,34,7
1,38,7
1,43,7
1,44,7
1,35,5
1,41,7
1,40,7
1,37,6
1,39,7
1,42,7
1,48,7
1,46,7
1,47,4
1,50,4
1,49,7
1,45,7
2,1,0
1,54,4
1,52,7
1,51,7
2,3,0
1,56,7
2,4,0
1,53,7
2,2,0
2,7,0
2,6,0
2,5,0
2,10,0
2,9,0
2,8,0
2,12,0
1,57,4
2,11,0
1,61,4
1,55,7
1,58,4
2,13,0
2,20,0
2,14,0
2,15,0
2,17,0
2,18,0
1,60,7
2,22,0
2,21,0
2,16,0
2,19,0
2,26,0
2,24,0
2,28,0
2,27,0
2,29,0
2,32,0
2,31,0
2,23,2
1,59,7
2,30,0
2,35,0
1,62,7
2,25,0
2,34,0
1,63,4
2,37,0
2,39,0
2,33,0
2,43,0
2,40,0
2,42,0
2,41,0
2,45,2
2,44,0
2,38,0
2,46,0
2,49,0
2,36,0
2,51,0
2,55,0
2,47,0
2,52,0
2,50,0
2,54,0
2,53,0
2,58,0
2,57,0
2,61,0
2,60,0
2,62,0
2,48,2
2,56,2
4,4,7
4,2,7
2,59,2
4,8,7
4,7,7
4,1,7
2,63,0
4,10,7
4,9,7
4,6,7
4,11,7
4,12,7
4,3,7
4,14,7
4,5,7
4,16,7
4,13,7
4,22,7
4,19,7
4,17,7
4,20,7
4,26,7
4,21,7
4,18,7
4,15,7
4,28,7
4,32,7
4,27,7
4,29,7
4,30,7
4,35,7
4,25,7
4,37,7
4,31,7
4,23,7
4,33,7
4,39,7
4,24,7
4,36,7
4,41,7
4,40,7
4,34,7
4,38,7
4,44,7
4,43,7
4,42,7
4,45,7
4,50,7
4,55,7
4,49,7
4,53,7
4,46,7
4,47,7
4,56,7
4,51,7
4,54,7
4,48,7
4,52,7
4,59,7
4,57,7
4,60,7
4,62,7
4,58,7
4,61,7
4,63,7
3,0,1
3,11,6
3,15,1
3,8,1
3,7,1
3,14,1
3,5,1
3,10,1
3,13,1
3,4,1
3,3,1
3,12,1
3,9,1
3,16,1
3,1,1
3,2,1
3,22,1
3,20,1
3,19,1
3,6,1
3,18,2
3,17,1
3,21,2
3,23,1
3,25,1
3,24,1
3,26,1
3,27,1
3,28,1
3,31,1
3,29,0
3,42,1
3,39,1
3,34,1
3,36,1
3,30,1
3,33,1
3,38,2
3,35,1
3,32,5
3,41,1
3,45,1
3,37,1
3,47,1
3,46,1
3,40,1
3,43,1
3,52,1
3,44,1
3,54,1
3,49,1
3,48,5
3,56,1
3,51,1
3,50,6
3,53,2
3,57,1
3,55,1
3,63,1
3,58,1
3,59,1
3,60,2
3,62,1
3,61,1
5,0,6
5,3,5
5,15,5
5,5,6
5,13,3
5,8,3
5,7,5
5,9,3
5,14,6
5,12,3
5,1,6
5,2,6
5,16,3
5,10,5
5,11,3
5,6,5
5,4,5
5,17,5
5,20,3
5,23,3
5,21,3
5,18,3
5,24,3
5,26,5
5,22,3
5,25,5
5,27,3
5,31,5
5,28,5
5,19,6
5,32,6
5,29,3
5,30,6
5,34,5
5,36,5
5,33,3
5,40,3
5,39,3
5,38,3
5,35,5
5,41,5
5,42,6
5,46,3
5,49,5
5,44,6
5,43,5
5,47,3
5,50,5
5,37,3
5,45,3
5,53,6
5,48,6
5,51,5
5,56,3
5,52,5
5,57,3
5,55,5
5,58,5
5,59,3
5,63,5
5,61,5
5,60,3
5,62,5
5,54,5
6,0,1
6,12,1
6,5,1
6,2,1
6,9,1
6,14,1
6,11,1
6,3,1
6,6,1
6,20,2
6,18,1
6,7,1
6,13,1
6,16,1
6,25,1
6,8,1
6,24,1
6,19,1
6,10,1
6,30,1
6,23,1
6,15,1
6,21,1
6,29,1
6,27,1
6,28,1
6,31,1
6,37,1
6,38,1
6,26,1
6,1,1
6,17,1
6,32,1
6,39,1
6,40,1
6,4,1
6,46,1
6,45,1
6,47,1
6,36,1
6,22,1
6,48,1
6,51,1
6,49,1
6,41,1
6,33,1
6,42,1
6,55,1
6,56,1
6,34,2
6,58,1
6,44,1
6,50,1
6,63,1
6,35,1
6,61,1
6,53,1
6,43,1
6,62,1
6,54,1
6,52,1
6,59,1
6,60,1
6,57,1
